ID	Public Gene IDs	Gene Symbol	Description	Chromosome	Strand	Group	Start	Stop
TC1400006619.hg.1	OTTHUMT00000410935	TRDJ3	T cell receptor delta joining 3	chr14	+	Coding	22459098	22459156
TC1400006961.hg.1	ENST00000362415; uc059azh.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr14	+	NonCoding	38987281	38987383
TC1400007269.hg.1	lacheybu.aAug10-unspliced	lacheybu	Transcript Identified by AceView	chr14	+	Coding	56596987	56598576
TC1400007467.hg.1	NR_030355; ENST00000385047	MIR625	microRNA 625	chr14	+	Precursor_microRNA	65471102	65471186
TC1400007719.hg.1	tihuri.aAug10-unspliced	tihuri	Transcript Identified by AceView	chr14	+	Coding	75853523	75855165
TC1400007900.hg.1	spushabu.aAug10-unspliced	spushabu	Transcript Identified by AceView	chr14	+	Unassigned	88400993	88402977
TC1400008262.hg.1				chr14	+	NonCoding	100997653	100997724
TC1400008336.hg.1	chorsnu.aAug10-unspliced	chorsnu	Transcript Identified by AceView	chr14	+	Coding	101839257	101840489
TC1400008396.hg.1	NR_002964; ENST00000606769; uc001ymv.1	SNORA28	small nucleolar RNA, H/ACA box 28	chr14	+	Small_RNA	103337849	103337974
TC1400008500.hg.1	karshobu.aAug10-unspliced	karshobu	Transcript Identified by AceView	chr14	+	Coding	105726619	105726995
TC1400008632.hg.1	NR_003029; ENST00000362566	SNORD9	small nucleolar RNA, C/D box 9	chr14	-	Multiple_Complex	21392150	21392253
TC1400008710.hg.1	uc058zpv.1	RNU6-1046P	RNA, U6 small nuclear 1046, pseudogene [Source:HGNC Symbol;Acc:HGNC:48009]	chr14	-	Small_RNA	23259460	23259566
TC1400008751.hg.1	swarpy.aAug10-unspliced	swarpy	Transcript Identified by AceView	chr14	-	Unassigned	24294821	24295929
TC1400008839.hg.1	warslar.aAug10-unspliced	warslar	Transcript Identified by AceView	chr14	-	Unassigned	30919609	30921400
TC1400008992.hg.1				chr14	-	NonCoding	38195371	38196403
TC1400009174.hg.1	hituru.aAug10-unspliced	hituru	Transcript Identified by AceView	chr14	-	NonCoding	51998175	51999916
TC1400009794.hg.1	ENST00000362570; uc059dwe.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr14	-	NonCoding	77821030	77821142
TC1400009843.hg.1				chr14	-	NonCoding	81560724	81573946
TC1400010487.hg.1	OTTHUMT00000325166	IGHVIII-25-1	immunoglobulin heavy variable (III)-25-1 (pseudogene)	chr14	-	Multiple_Complex	106293568	106293808
TC1400010677.hg.1	uc059fhj.1	SNORD113	Small nucleolar RNA SNORD113/SNORD114 family [Source:RFAM;Acc:RF00181]	chr14	+	Small_RNA	100979002	100979090
TC1400010680.hg.1	NR_003214; ENST00000606412	SNORD114-21	small nucleolar RNA, C/D box 114-21	chr14	+	Multiple_Complex	100981975	100982046
TC1400010688.hg.1	NR_003223; ENST00000364448	SNORD114-30	small nucleolar RNA, C/D box 114-30	chr14	+	Multiple_Complex	100991919	100991990
TC1500006574.hg.1	NR_003317; ENST00000384274	SNORD116-2	small nucleolar RNA, C/D box 116-2	chr15	+	Multiple_Complex	25054209	25054305
TC1500006677.hg.1	pluchubu.aAug10-unspliced	pluchubu	Transcript Identified by AceView	chr15	+	Coding	28603111	28605507
TC1500006678.hg.1	flychobu.aAug10-unspliced	flychobu	Transcript Identified by AceView	chr15	+	Coding	28608150	28608703
TC1500006701.hg.1	NR_026859; NR_027470; ENST00000563895; ENST00000565158; ENST00000566138; ENST00000568274; ENST00000568486; OTTHUMT00000430685; OTTHUMT00000430686; OTTHUMT00000430687; OTTHUMT00000430688; OTTHUMT00000430689	ULK4P3; ULK4P2	ULK4 pseudogene 3; ULK4 pseudogene 2	chr15	+	Multiple_Complex	30103547	30131757
TC1500006722.hg.1	lusper.aAug10-unspliced	lusper	Transcript Identified by AceView	chr15	+	Unassigned	30548895	30549783
TC1500006817.hg.1				chr15	+	NonCoding	34136566	34140741
TC1500007092.hg.1				chr15	+	NonCoding	44434254	44434507
TC1500007336.hg.1	chuzerbu.aAug10-unspliced	chuzerbu	Transcript Identified by AceView	chr15	+	Unassigned	56981621	56984012
TC1500007506.hg.1				chr15	+	NonCoding	62812950	62813027
TC1500007566.hg.1	dorgorby.aAug10-unspliced	dorgorby	Transcript Identified by AceView	chr15	+	Unassigned	64697578	64700692
TC1500007634.hg.1	snarstee.aAug10-unspliced	snarstee	Transcript Identified by AceView	chr15	+	Unassigned	67105797	67107158
TC1500007730.hg.1	lyjoby.aAug10-unspliced	lyjoby	Transcript Identified by AceView	chr15	+	Coding	70708480	70708958
TC1500007746.hg.1	jorey.aAug10-unspliced	jorey	Transcript Identified by AceView	chr15	+	Coding	71424331	71424877
TC1500007751.hg.1	worrey.aAug10-unspliced	worrey	Transcript Identified by AceView	chr15	+	NonCoding	71506363	71508014
TC1500007794.hg.1	chaper.aAug10-unspliced	chaper	Transcript Identified by AceView	chr15	+	Unassigned	72488599	72490245
TC1500007988.hg.1	ENST00000624440; OTTHUMT00000421839; uc059mgi.1	RP11-16K12.2	tec	chr15	+	NonCoding	78906127	78906809
TC1500008026.hg.1	moyzar.aAug10-unspliced	moyzar	Transcript Identified by AceView	chr15	+	Unassigned	80131779	80132955
TC1500008048.hg.1	hsa_circ_0002568	KIAA1199	Jeck2013 ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic best transcript NM_018689	chr15	+	NonCoding	80790536	80871067
TC1500008050.hg.1	klorstoy.aAug10-unspliced	klorstoy	Transcript Identified by AceView	chr15	+	Coding	80802978	80803485
TC1500008246.hg.1	morsky.aAug10-unspliced	morsky	Transcript Identified by AceView	chr15	+	Unassigned	89091807	89092642
TC1500008273.hg.1	uc059nbs.1	RNU6-132P	RNA, U6 small nuclear 132, pseudogene [Source:HGNC Symbol;Acc:HGNC:47095]	chr15	+	Small_RNA	89714232	89714338
TC1500008493.hg.1	plyskaw.aAug10-unspliced	plyskaw	Transcript Identified by AceView	chr15	+	Unassigned	98779763	98780171
TC1500008496.hg.1	toypoy.aAug10-unspliced	toypoy	Transcript Identified by AceView	chr15	+	Unassigned	98823356	98823789
TC1500008874.hg.1	ENST00000501830.2; OTTHUMT00000430725; uc059hbr.1	RP11-932O9.7	novel transcript, antisense to ARHGAP11B	chr15	-	NonCoding	30564940	30625773
TC1500008889.hg.1				chr15	-	NonCoding	30813588	30814206
TC1500008911.hg.1				chr15	-	NonCoding	31446556	31447321
TC1500009153.hg.1	uc059hyk.1	RNU6-1169P	RNA, U6 small nuclear 1169, pseudogene [Source:HGNC Symbol;Acc:HGNC:48132]	chr15	-	Small_RNA	41448742	41448844
TC1500009183.hg.1	flyzawbu.aAug10-unspliced	flyzawbu	Transcript Identified by AceView	chr15	-	Unassigned	42180935	42181564
TC1500009464.hg.1	lustu.aAug10-unspliced	lustu	Transcript Identified by AceView	chr15	-	Unassigned	52671861	52672081
TC1500009613.hg.1	seezo.aAug10-unspliced	seezo	Transcript Identified by AceView	chr15	-	Unassigned	59369173	59370823
TC1500009652.hg.1	veezo.aAug10-unspliced	veezo	Transcript Identified by AceView	chr15	-	Unassigned	60884348	60885780
TC1500009664.hg.1				chr15	-	NonCoding	61220726	61221110
TC1500009811.hg.1	veestee.aAug10-unspliced	veestee	Transcript Identified by AceView	chr15	-	Coding	65782978	65783999
TC1500009842.hg.1	smawstee.aAug10-unspliced	smawstee	Transcript Identified by AceView	chr15	-	Coding	67092306	67092783
TC1500009922.hg.1	OTTHUMT00000474076; uc059kwb.1	RP11-138H8.8	novel transcript, sense intronic to UACA	chr15	-	NonCoding	70758269	70758856
TC1500010804.hg.1				chr15	+	NonCoding	101756653	101756721
TC1500010813.hg.1				chr15	+	NonCoding	101759531	101759599
TC1500010818.hg.1				chr15	+	NonCoding	101760924	101760989
TC1600006671.hg.1				chr16	+	NonCoding	3188094	3188165
TC1600006830.hg.1	bosmey.aAug10-unspliced	bosmey	Transcript Identified by AceView	chr16	+	Coding	8817311	8819731
TC1600006946.hg.1	wupa.aAug10-unspliced	wupa	Transcript Identified by AceView	chr16	+	Coding	12117108	12117444
TC1600007204.hg.1	wospar.aAug10-unspliced	wospar	Transcript Identified by AceView	chr16	+	Unassigned	22498491	22499877
TC1600007205.hg.1	fusny.aAug10-unspliced	fusny	Transcript Identified by AceView	chr16	+	Unassigned	22499913	22502532
TC1600007273.hg.1				chr16	+	NonCoding	25072411	25072473
TC1600007501.hg.1				chr16	+	NonCoding	30918681	30919021
TC1600007898.hg.1	ENST00000624987; OTTHUMT00000433145; uc059ugq.1	RP11-357N13.6	novel transcript	chr16	+	Unassigned	53991012	53994454
TC1600008167.hg.1	glawoy.aAug10-unspliced	glawoy	Transcript Identified by AceView	chr16	+	Unassigned	67567277	67567576
TC1600008375.hg.1	uc059xah.1	AC132068.1		chr16	+	Precursor_microRNA	72984857	72984954
TC1600008378.hg.1	ENST00000604855.2; ENST00000606272.1; OTTHUMT00000469920; OTTHUMT00000470854; uc059xam.1; uc059xan.1	RP11-346C20.3; RP11-346C20.4	novel transcript	chr16	+	NonCoding	73059901	73062316
TC1600008919.hg.1	uc059yww.1	RNU6-355P	RNA, U6 small nuclear 355, pseudogene [Source:HGNC Symbol;Acc:HGNC:47318]	chr16	+	Small_RNA	90144592	90144695
TC1600009179.hg.1				chr16	-	NonCoding	3184133	3184204
TC1600009203.hg.1	flusnor.aAug10-unspliced	flusnor	Transcript Identified by AceView	chr16	-	Coding	3752459	3753182
TC1600009298.hg.1				chr16	-	NonCoding	7818157	7818413
TC1600009359.hg.1				chr16	-	NonCoding	10462686	10465944
TC1600009588.hg.1				chr16	-	NonCoding	17455121	17457748
TC1600009707.hg.1	pleypo.aAug10-unspliced	pleypo	Transcript Identified by AceView	chr16	-	Unassigned	22498669	22499259
TC1600009922.hg.1				chr16	-	NonCoding	29419360	29419939
TC1600009923.hg.1				chr16	-	NonCoding	29422373	29422806
TC1600009959.hg.1	NR_002453	SMG1P5	SMG1 pseudogene 5	chr16	-	Multiple_Complex	30264576	30336730
TC1600010693.hg.1	uc059whk.1	snoU109	Small nucleolar RNA U109 [Source:RFAM;Acc:RF01233]	chr16	-	Small_RNA	68630223	68630354
TC1600010878.hg.1	chawro.aAug10-unspliced	chawro	Transcript Identified by AceView	chr16	-	Coding	75383955	75384761
TC1600011502.hg.1	NR_024456	LOC100190986	uncharacterized LOC100190986	chr16	-	NonCoding	21432003	21434455
TC1700006671.hg.1				chr17	+	NonCoding	5252622	5252986
TC1700006950.hg.1	ENST00000584683.1; OTTHUMT00000447654; uc060bkt.1	RP11-214O1.3	novel transcript	chr17	+	NonCoding	14327335	14329474
TC1700007420.hg.1	storsmy.aAug10	storsmy	Transcript Identified by AceView	chr17	+	Coding	29410320	29411966
TC1700007465.hg.1	ENST00000623719; OTTHUMT00000444267; uc060dos.1	CTD-2349P21.3	TEC	chr17	+	Unassigned	30738182	30740275
TC1700008067.hg.1	ENST00000587960.1; OTTHUMT00000458128; uc060gij.1	RP11-798G7.8	novel transcript	chr17	+	NonCoding	45531577	45533838
TC1700008380.hg.1	jawserbo.aAug10-unspliced	jawserbo	Transcript Identified by AceView	chr17	+	Unassigned	57284997	57287047
TC1700008714.hg.1	jychu.aAug10-unspliced	jychu	Transcript Identified by AceView	chr17	+	Unassigned	67886925	67889908
TC1700009382.hg.1	skoysker.aAug10-unspliced	skoysker	Transcript Identified by AceView	chr17	-	Unassigned	1549336	1551812
TC1700009418.hg.1				chr17	-	NonCoding	2072823	2072886
TC1700009619.hg.1	NM_001128827; NM_001365; ENST00000302955; ENST00000399506; ENST00000399510; ENST00000447163; ENST00000451807; ENST00000485100; ENST00000486626; ENST00000489885; ENST00000491753; ENST00000493294; BC136553; OTTHUMT00000259418; OTTHUMT00000259419; OTTHUMT00000259420; OTTHUMT00000259421; OTTHUMT00000259422; OTTHUMT00000259423; OTTHUMT00000259424; OTTHUMT00000259425; OTTHUMT00000259426; OTTHUMT00000259428	DLG4	discs, large homolog 4 (Drosophila)	chr17	-	Multiple_Complex	7189890	7220050
TC1700009699.hg.1				chr17	-	NonCoding	8640120	8643959
TC1700010258.hg.1	tarserbo.aAug10-unspliced	tarserbo	Transcript Identified by AceView	chr17	-	Unassigned	29737924	29740325
TC1700010264.hg.1				chr17	-	NonCoding	29876608	29876847
TC1700010508.hg.1	joywobu.aAug10	joywobu	Transcript Identified by AceView	chr17	-	Unassigned	37923533	37924823
TC1700010540.hg.1	NM_007144; ENST00000610747; ENST00000611883; ENST00000616129; ENST00000616199; ENST00000618506; ENST00000618941; ENST00000620225; BC004858; BC024255; OTTHUMT00000477447; OTTHUMT00000477448; OTTHUMT00000477449; OTTHUMT00000477450; OTTHUMT00000477451; OTTHUMT00000477452	PCGF2	polycomb group ring finger 2	chr17	-	Coding	38733897	38749817
TC1700010756.hg.1	uc060fph.1	SNORA40	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	chr17	-	Small_RNA	42940575	42940702
TC1700010835.hg.1	smeewaw.aAug10-unspliced	smeewaw	Transcript Identified by AceView	chr17	-	Unassigned	44449821	44450518
TC1700011155.hg.1	uc060hpu.1	AC091154.1		chr17	-	Precursor_microRNA	53106069	53106157
TC1700011301.hg.1	uc060ifl.1	AC005702.4		chr17	-	Precursor_microRNA	60042546	60042627
TC1700011302.hg.1	uc060ifm.1	AC005702.3		chr17	-	Precursor_microRNA	60042694	60042772
TC1700011303.hg.1	uc060ifn.1	AC005702.2		chr17	-	Precursor_microRNA	60042805	60042882
TC1700011304.hg.1	NR_039890; ENST00000583979; uc021uba.1	MIR4737	microRNA 4737	chr17	-	Precursor_microRNA	60043025	60043105
TC1700011455.hg.1	tuwaw.aAug10-unspliced	tuwaw	Transcript Identified by AceView	chr17	-	Unassigned	64656902	64658197
TC1700011469.hg.1	ENST00000606708	RP11-927P21.12		chr17	-	Pseudogene	64905883	64906018
TC1700011488.hg.1				chr17	-	NonCoding	65420583	65420660
TC1800006507.hg.1	hahima.aAug10-unspliced	hahima	Transcript Identified by AceView	chr18	+	Unassigned	3250308	3251735
TC1800006580.hg.1				chr18	+	NonCoding	7164741	7166948
TC1800006696.hg.1				chr18	+	NonCoding	11336323	11346672
TC1800007157.hg.1	OTTHUMT00000473314; uc060ori.1	RP11-687E1.2	novel transcript, sense intronic to PIK3C3	chr18	+	NonCoding	42052705	42053030
TC1800007491.hg.1	uc060psc.1	RNU6-116P	RNA, U6 small nuclear 116, pseudogene [Source:HGNC Symbol;Acc:HGNC:47079]	chr18	+	Small_RNA	61391595	61391703
TC1800007940.hg.1	glarklaw.aAug10-unspliced	glarklaw	Transcript Identified by AceView	chr18	-	Unassigned	3997031	3997478
TC1800008083.hg.1				chr18	-	NonCoding	11640152	11640773
TC1800008122.hg.1				chr18	-	NonCoding	12533424	12533525
TC1800008829.hg.1	swoywo.aAug10-unspliced	swoywo	Transcript Identified by AceView	chr18	-	Coding	59672123	59672641
TC1800008830.hg.1	kohiri.aAug10-unspliced	kohiri	Transcript Identified by AceView	chr18	-	Coding	59676987	59677550
TC1800009224.hg.1	NR_024565; NR_024566; ENST00000399070; ENST00000465539	ZNF271P	zinc finger protein 271, pseudogene	chr18	+	Multiple_Complex	35290272	35313375
TC1900006668.hg.1	dorko.aAug10-unspliced	dorko	Transcript Identified by AceView	chr19	+	Coding	3977883	3978265
TC1900006989.hg.1	NM_001281504; NM_032885; NR_104024; NR_104025; ENST00000309469; ENST00000585437; ENST00000585752; ENST00000586417; ENST00000586477; ENST00000586863; ENST00000587256; ENST00000588667; ENST00000588857; ENST00000588972; ENST00000589753; ENST00000590096; BC068992; OTTHUMT00000452018; OTTHUMT00000452019; OTTHUMT00000452020; OTTHUMT00000452021; OTTHUMT00000452022; OTTHUMT00000452023; OTTHUMT00000452024; OTTHUMT00000452025; OTTHUMT00000452026; OTTHUMT00000452027; OTTHUMT00000452028; OTTHUMT00000452029	ATG4D	autophagy related 4D, cysteine peptidase	chr19	+	Multiple_Complex	10543894	10553423
TC1900007928.hg.1	neeva.aAug10-unspliced	neeva	Transcript Identified by AceView	chr19	+	Coding	36294531	36295002
TC1900007972.hg.1	sperwy.aAug10-unspliced	sperwy	Transcript Identified by AceView	chr19	+	Unassigned	37354402	37355158
TC1900007984.hg.1	NR_040013; ENST00000586819; ENST00000587248; ENST00000589653; ENST00000590433; ENST00000592103; ENST00000586819.1; ENST00000587248.1; ENST00000589653.1; ENST00000590433.1; ENST00000592103.1; OTTHUMT00000459786; OTTHUMT00000459787; OTTHUMT00000459788; OTTHUMT00000459790; OTTHUMT00000459791; uc010eft.2; uc060xxt.1; uc060xxu.1; uc060xxv.1; uc060xxw.1	LOC644554; CTD-2554C21.2	uncharacterized LOC644554; novel transcript	chr19	+	NonCoding	37817359	37828244
TC1900008113.hg.1	NM_001042544; NM_001042545; NM_003573; ENST00000204005; ENST00000243562; ENST00000308370; ENST00000318809; ENST00000396819; ENST00000546155; ENST00000593463; ENST00000593738; ENST00000594116; ENST00000594448; ENST00000594537; ENST00000595118; ENST00000595529; ENST00000595665; ENST00000596351; ENST00000597071; ENST00000597151; ENST00000597816; ENST00000598055; ENST00000598166; ENST00000598178; ENST00000598256; ENST00000598717; ENST00000599016; ENST00000599225; ENST00000599724; ENST00000600026; ENST00000600499; ENST00000601032; ENST00000601464; ENST00000602251; ENST00000610893; ENST00000612121; ENST00000612845; ENST00000617753; ENST00000618486; ENST00000622107; ENST00000622457; ENST00000622565; OTTHUMT00000462815; OTTHUMT00000462816; OTTHUMT00000462817; OTTHUMT00000462818; OTTHUMT00000462819; OTTHUMT00000462820; OTTHUMT00000462821; OTTHUMT00000462822; OTTHUMT00000463029; OTTHUMT00000463030; OTTHUMT00000463031; OTTHUMT00000463032; OTTHUMT00000463033; OTTHUMT00000463034; OTTHUMT00000463035; OTTHUMT00000463036; OTTHUMT00000463037; OTTHUMT00000463064; OTTHUMT00000463065; OTTHUMT00000463082; OTTHUMT00000463083; OTTHUMT00000463084; OTTHUMT00000463085; OTTHUMT00000463086; OTTHUMT00000463087; OTTHUMT00000463088; OTTHUMT00000463089; OTTHUMT00000463092; OTTHUMT00000463784; OTTHUMT00000463785; OTTHUMT00000463786; OTTHUMT00000463787; OTTHUMT00000463895; OTTHUMT00000463896; OTTHUMT00000463902; OTTHUMT00000463903; OTTHUMT00000463904; OTTHUMT00000463905; OTTHUMT00000463906	LTBP4	latent transforming growth factor beta binding protein 4	chr19	+	Multiple_Complex	40592883	40629820
TC1900009827.hg.1	shoglu.aAug10	shoglu	Transcript Identified by AceView	chr19	-	Unassigned	14550111	14560548
TC1900010335.hg.1				chr19	-	NonCoding	31336998	31338924
TC1900010968.hg.1	ploysorbu.aAug10-unspliced	ploysorbu	Transcript Identified by AceView	chr19	-	Coding	46030367	46030860
TC1900011144.hg.1				chr19	-	NonCoding	49496472	49496969
TC1900011146.hg.1	poyjoy.aAug10-unspliced	poyjoy	Transcript Identified by AceView	chr19	-	Unassigned	49497925	49498047
TC1900011348.hg.1				chr19	-	NonCoding	53378081	53379544
TC2000006451.hg.1				chr20	+	NonCoding	474560	476900
TC2000006675.hg.1	swywar.aAug10-unspliced	swywar	Transcript Identified by AceView	chr20	+	Unassigned	9081879	9084838
TC2000007117.hg.1	NM_001164603; NM_015338; ENST00000306058; ENST00000375687; ENST00000375689; ENST00000470145; ENST00000497249; ENST00000542461; ENST00000553345; ENST00000555343; ENST00000555564; ENST00000613218; ENST00000619344; ENST00000620121; BC137278; BC137280; OTTHUMT00000078624; OTTHUMT00000078625; OTTHUMT00000078626; OTTHUMT00000078627; OTTHUMT00000411870; OTTHUMT00000411871; OTTHUMT00000411872; OTTHUMT00000476763	ASXL1	additional sex combs like transcriptional regulator 1	chr20	+	Multiple_Complex	32358344	32439319
TC2000007118.hg.1	fartar.aAug10-unspliced	fartar	Transcript Identified by AceView	chr20	+	Unassigned	32362649	32363270
TC2000007188.hg.1	NR_030374; ENST00000385262; uc021wcb.1	MIR644A	microRNA 644a	chr20	+	Precursor_microRNA	34466325	34466418
TC2000007189.hg.1	vytaw.aAug10-unspliced	vytaw	Transcript Identified by AceView	chr20	+	Unassigned	34468854	34469431
TC2000007226.hg.1	ENST00000410528	RN7SKP271	RNA, 7SK small nuclear pseudogene 271 [Source:HGNC Symbol;Acc:HGNC:45995]	chr20	+	NonCoding	35643143	35643462
TC2000007381.hg.1				chr20	+	NonCoding	41037833	41038992
TC2000007405.hg.1				chr20	+	NonCoding	42262158	42266569
TC2000007621.hg.1	seysobo.aAug10-unspliced	seysobo	Transcript Identified by AceView	chr20	+	Unassigned	48922585	48924678
TC2000007667.hg.1	beeku.aAug10-unspliced	beeku	Transcript Identified by AceView	chr20	+	Unassigned	49938036	49938954
TC2000007721.hg.1	uc061xtg.1	AL035457.1		chr20	+	Precursor_microRNA	51177505	51177599
TC2000007965.hg.1				chr20	+	NonCoding	60911926	60923463
TC2000008533.hg.1	NM_006606; ENST00000337227; ENST00000491835; ENST00000493184; ENST00000622282; BC015938; OTTHUMT00000078175; OTTHUMT00000078177; OTTHUMT00000078178	RBBP9	retinoblastoma binding protein 9	chr20	-	Multiple_Complex	18486540	18497243
TC2000008989.hg.1	gleyzer.aAug10-unspliced	gleyzer	Transcript Identified by AceView	chr20	-	Unassigned	35807992	35808518
TC2000009072.hg.1	NR_003017; ENST00000364642	SNORA71C	small nucleolar RNA, H/ACA box 71C	chr20	-	Small_RNA	38429667	38429804
TC2000009413.hg.1	chorvey.aAug10-unspliced	chorvey	Transcript Identified by AceView	chr20	-	Unassigned	50092759	50093790
TC2000009441.hg.1	smeera.aAug10-unspliced	smeera	Transcript Identified by AceView	chr20	-	Coding	50897752	50898605
TC2000009512.hg.1				chr20	-	NonCoding	53843718	53843768
TC2100006862.hg.1				chr21	+	NonCoding	29412173	29413063
TC2100006961.hg.1	kuhora.aAug10-unspliced	kuhora	Transcript Identified by AceView	chr21	+	Coding	33333454	33334026
TC2100007048.hg.1	lersobo.aAug10	lersobo	Transcript Identified by AceView	chr21	+	Coding	36328552	36354845
TC2100007439.hg.1				chr21	+	NonCoding	45923978	45924904
TC2100007806.hg.1	smuvee.aAug10-unspliced	smuvee	Transcript Identified by AceView	chr21	-	Unassigned	25994393	25995241
TC2100007987.hg.1				chr21	-	NonCoding	33273764	33273829
TC2100008036.hg.1				chr21	-	NonCoding	34823464	34826406
TC2100008040.hg.1	peetaw.aAug10-unspliced	peetaw	Transcript Identified by AceView	chr21	-	Unassigned	34873349	34874044
TC2100008041.hg.1	dysy.aAug10-unspliced	dysy	Transcript Identified by AceView	chr21	-	Unassigned	34878450	34879673
TC2200007428.hg.1	mocho.aAug10-unspliced	mocho	Transcript Identified by AceView	chr22	+	Coding	40287731	40290045
TC2200007478.hg.1	sarura.aAug10-unspliced	sarura	Transcript Identified by AceView	chr22	+	Coding	41508355	41508942
TC2200007523.hg.1	NR_027786; ENST00000359906; ENST00000434218; ENST00000455578; BC093888	SERHL	serine hydrolase-like (pseudogene)	chr22	+	Multiple_Complex	42500579	42512996
TC2200007684.hg.1	zorbla.aAug10-unspliced	zorbla	Transcript Identified by AceView	chr22	+	Coding	46939979	46940625
TC2200008106.hg.1	stawfy.aAug10-unspliced	stawfy	Transcript Identified by AceView	chr22	-	Coding	21796298	21796947
TC2200008352.hg.1	tovaw.aAug10-unspliced	tovaw	Transcript Identified by AceView	chr22	-	Unassigned	27900396	27901367
TC2200008353.hg.1	blawpey.aAug10-unspliced	blawpey	Transcript Identified by AceView	chr22	-	Unassigned	27908327	27909033
TC2200008581.hg.1	sufaw.aAug10-unspliced	sufaw	Transcript Identified by AceView	chr22	-	Coding	35943925	35945193
TC2200009249.hg.1				chr22	+	NonCoding	29119992	29120715
TSUnmapped00000842.hg.1						NonCoding		
TSUnmapped00000848.hg.1						Small_RNA		
TSUnmapped00000906.hg.1						Small_RNA		
TSUnmapped00000947.hg.1						NonCoding		
TSUnmapped00000997.hg.1						NonCoding		
